model,split,k,Recall@K,NDCG@K
Popularity,val,5,0.007051712558764272,0.004262453971602751
Popularity,val,10,0.012108402796981789,0.005880555983064926
Popularity,val,20,0.025362461976059732,0.009244419291828865
Popularity,test,5,0.006340615494014933,0.00414434099323557
Popularity,test,10,0.010409670920080591,0.005432186113888631
Popularity,test,20,0.022340299450875043,0.008462867514674243
