model,split,k,Recall@K,NDCG@K
ItemCF,val,5,0.06512463951329356,0.045632637514000186
ItemCF,val,10,0.09293643582348991,0.05458042369766528
ItemCF,val,20,0.12967645083553905,0.06385850581458015
ItemCF,test,5,0.04466084620550705,0.03078446702806069
ItemCF,test,10,0.06463082210721764,0.03721743513036474
ItemCF,test,20,0.09283767234227472,0.04430649766548424
